profile,size,repeat,order_position,seed,add_total_ms,add_per_record_ms,query_total_ms,query_per_record_ms,verify_total_ms,encrypt_per_record_ms,decrypt_per_record_ms,database_size_bytes
sqlite_aes,1000,13,2,2026,1108.2134,1.1082134000000001,71.6857,0.07168569999999999,25.0222,0.119682,0.027996599999999993,503808.0
sqlite,1000,13,3,2026,1208.5821,1.2085821,15.989,0.015989,0.3372,0.0,0.0,401408.0
sqlite_aes,1000,14,1,2026,1589.4295,1.5894295,55.7613,0.0557613,17.3846,0.25765599999999994,0.022095900000000012,503808.0
sqlite,1000,14,2,2026,879.7649,0.8797649,23.0474,0.0230474,0.469,0.0,0.0,401408.0
sqlite_aes_chain,1000,14,3,2026,12374.2021,12.3742021,63.9761,0.06397610000000001,134.4735,nan,nan,1429504.0
sqlite_aes_chain,1000,15,1,2026,11599.0862,11.5990862,90.3838,0.0903838,176.727,nan,nan,1425408.0
sqlite,1000,15,2,2026,1039.5244,1.0395244,7.8384,0.0078384,0.1597,0.0,0.0,401408.0
sqlite_aes,1000,15,3,2026,995.9837,0.9959837,23.9671,0.023967099999999998,8.1527,0.08903730000000004,0.00949240000000001,503808.0
sqlite_aes_chain,1000,16,1,2026,11495.3006,11.4953006,83.9602,0.0839602,183.1339,nan,nan,1433600.0
sqlite_aes,1000,16,2,2026,867.3081,0.8673080999999999,31.1632,0.0311632,10.0619,0.09383479999999991,0.012982099999999984,503808.0
sqlite,1000,16,3,2026,763.6542,0.7636542,13.3101,0.0133101,0.5863,0.0,0.0,401408.0
sqlite_aes_chain,1000,17,1,2026,10919.1808,10.9191808,162.1057,0.16210570000000002,347.9231,nan,nan,1425408.0
sqlite_aes,1000,17,2,2026,1131.8076,1.1318076000000001,22.7983,0.0227983,7.9722,0.1626676000000001,0.008856799999999998,507904.0
sqlite,1000,17,3,2026,780.6603,0.7806603,9.0804,0.009080399999999999,0.4181,0.0,0.0,401408.0
sqlite,1000,18,1,2026,755.5859,0.7555859,25.0083,0.025008299999999997,0.3789,0.0,0.0,401408.0
sqlite_aes_chain,1000,18,2,2026,10993.3245,10.9933245,65.1937,0.06519370000000001,131.8286,nan,nan,1425408.0
sqlite_aes,1000,18,3,2026,1015.4037,1.0154037,35.6305,0.035630499999999996,12.8494,0.07917339999999995,0.014500799999999998,503808.0
sqlite_aes_chain,1000,19,1,2026,11650.4275,11.6504275,82.6762,0.08267619999999999,213.3815,nan,nan,1425408.0
sqlite_aes,1000,19,2,2026,896.2159,0.8962159000000001,34.9628,0.0349628,14.7511,0.11496399999999991,0.013949500000000012,507904.0
sqlite,1000,19,3,2026,850.9498,0.8509498,9.909,0.009909000000000001,0.1815,0.0,0.0,401408.0
sqlite,1000,20,1,2026,726.8442,0.7268442,12.6447,0.0126447,0.24,0.0,0.0,401408.0
sqlite_aes,1000,20,2,2026,963.9466,0.9639466,32.1136,0.0321136,9.0568,0.11340300000000003,0.012527499999999985,507904.0
sqlite_aes_chain,1000,20,3,2026,10581.1929,10.5811929,76.7446,0.07674460000000001,153.8636,nan,nan,1421312.0
sqlite,1000,21,1,2026,777.4433,0.7774433000000001,11.521,0.011521,0.202,0.0,0.0,401408.0
sqlite_aes_chain,1000,21,2,2026,9364.0214,9.3640214,62.9254,0.0629254,139.0139,nan,nan,1437696.0
sqlite_aes,1000,21,3,2026,815.496,0.815496,28.1429,0.028142900000000002,10.4832,0.09174880000000006,0.010813299999999993,503808.0
sqlite_aes,1000,22,1,2026,810.4682,0.8104682,26.3659,0.0263659,12.5564,0.08734969999999999,0.0104852,507904.0
sqlite,1000,22,2,2026,744.3165,0.7443165,11.8129,0.011812900000000001,0.267,0.0,0.0,401408.0
sqlite_aes_chain,1000,22,3,2026,8886.8366,8.8868366,74.0335,0.0740335,159.4835,nan,nan,1429504.0
sqlite_aes_chain,1000,23,1,2026,8827.7447,8.827744699999998,90.0252,0.0900252,194.3253,nan,nan,1425408.0
sqlite,1000,23,2,2026,786.763,0.786763,11.934,0.011933999999999998,0.23,0.0,0.0,401408.0
sqlite_aes,1000,23,3,2026,756.4792,0.7564792,25.7583,0.025758299999999998,9.5021,0.08608519999999982,0.010261699999999988,503808.0
sqlite_aes_chain,1000,24,1,2026,8640.7396,8.640739600000002,70.0743,0.07007429999999999,156.8561,nan,nan,1433600.0
sqlite_aes,1000,24,2,2026,777.3692,0.7773692,26.5335,0.0265335,8.3986,0.09190550000000004,0.01079159999999997,507904.0
sqlite,1000,24,3,2026,763.6353,0.7636353,9.5189,0.0095189,0.201,0.0,0.0,401408.0
